q,a,reasoning
How many activities are present in the whole workflow?,1 (crop-segmentation-train / segmentation-finetuning),2_workflow.md §5 Execution Record: one block
What is the final status of the workflow?,Completed,2_workflow.md §1 Execution Status
What is the time to completion of the workflow?,11h 30m 00s,2_workflow.md §1 Execution Duration
List all the parameters of the first activity of the workflow,"Bands: 6, Timesteps: 3, Classes: 13, Image Size: 224x224",2_workflow.md §5 Block[1] Parameters
What hardware was used in the workflow?,4x NVIDIA A100-40GB,2_workflow.md §2 Compute Hardware
Who is responsible for this workflow (person or username or entity)?,Hanxi (Steve) Li (Lead Practitioner); michael-cecil (Execution Triggerer),2_workflow.md §3 Actors
What was the specific execution order of the tasks?,"Single activity: crop-segmentation-train, 04:15 to 15:00",2_workflow.md §5 Block[1] timestamps
List all the parameters for the whole workflow process,"Bands: 6, Timesteps: 3, Classes: 13, Image Size: 224x224",2_workflow.md §5 Block[1] Parameters (only one activity)
What was the peak RAM consumption during the workflow?,Not reported,2_workflow.md — no RAM/memory field
Has the model been trained in a distributed setting?,Yes — 4x NVIDIA A100-40GB on AWS SageMaker,2_workflow.md §2 Compute Hardware and Execution Location
What was the real-time power consumption (in Watts) of the GPU during the workflow?,Not reported,2_workflow.md — no power field
Which inputs influenced the output in the workflow?,foundation-model (Prithvi-EO-1.0-100M) and training-dataset (hls-multi-temporal-crop-classification),2_workflow.md §5 Block[1] Inputs Consumed
What is the total energy use for completing the workflow?,Not reported,2_workflow.md — no energy field
List all input files with size larger than 100Mb,GeoTIFF chips (.tiff) — individual sizes not reported; dataset is ~tgz archive (size unspecified),2_datacard.md — no explicit file sizes provided
List all different file types used as input,GeoTIFF (.tiff) for input chips and masks,2_datacard.md Dataset Structure: TIFF Files section
Identify the largest output,Segmentation model checkpoint (Prithvi-100M backbone + U-Net head) — exact size not reported,2_workflow.md §6 Content Summary
What is the science domain of the dataset?,Remote Sensing / Geospatial / Agriculture (crop classification),"2_datacard.md tags: remote sensing, segmentation, crop type"
Does the dataset have a predetermined train-test split?,"Yes — 80% train, 20% validation (3,854 chips total)",2_datacard.md Data Splits section
How many samples are present in the whole dataset?,"3,854 chips","2_datacard.md Data Splits: 3,854 chips"
What is the data type of the ground truth (if present)?,"Integer pixel labels (single-band GeoTIFF mask, values 0–13)",2_datacard.md Band Order / Masks section
What is the specific task for which the dataset was created?,Multi-temporal crop type segmentation / land cover classification,2_datacard.md Dataset Summary
What is the size in byte of one sample?,"Not reported (one chip is 224x224x18 float; approx. ~3.6 MB uncompressed, not stated explicitly)",2_datacard.md — no per-sample byte size
What is the total size of the whole dataset?,Not reported (available as .tgz on S3; size unspecified),2_datacard.md Dataset Download section — no total size given
What are the designed uses for this model?,Crop type / land cover segmentation from multi-temporal HLS satellite imagery,2_modelcard_finetuned.md Model and Inputs first paragraph
How many epochs have been used in the final training?,80 epochs,2_modelcard_finetuned.md Results: 'running the mmseg stack for 80 epochs'
How many model parameters (weights) does the model have?,~100M (Prithvi-EO-1.0-100M),2_modelcard_pretrained.md title and 2_modelcard_finetuned.md first line
What is the science domain of the model?,Geospatial / Remote Sensing / Agriculture,"2_modelcard_finetuned.md tags: Geospatial, Crop Classification"
What is the task solved by this model (regression or classification or forecast etc.)?,Image segmentation (pixel-level classification),2_modelcard_finetuned.md pipeline_tag: image-segmentation
What is the intended use of this model?,Classify crop and land cover types from multi-temporal HLS satellite imagery,2_modelcard_finetuned.md first paragraph
What is the size of the final model in Mb?,Not reported,2_workflow.md §6 — no size field; 2_modelcard_finetuned.md — no size field
What technique was used to train the model?,Fine-tuning via mmsegmentation stack (supervised segmentation fine-tuning),2_workflow.md §5 Block[1] Activity Type: Fine-Tuning (Segmentation)
What is the claimed performance of this model?,"mIoU: 0.4269, mAcc: 64.06%, aAcc: 60.64%",2_modelcard_finetuned.md Results table bottom row
Are the performance shown in the pretrained version improved in the finetuning?,Pretrained model (MAE) has no segmentation benchmark; finetuned achieves mIoU 0.4269 — improvement cannot be directly compared,2_modelcard_pretrained.md (no segmentation metrics); 2_modelcard_finetuned.md Results
