q,a,reasoning
How many activities are present in the whole workflow?,1 (pii-redaction-training / qlora-finetuning),3_workflow.md §5 Execution Record: one block
What is the final status of the workflow?,Completed,3_workflow.md §1 Execution Status
What is the time to completion of the workflow?,9h 45m 00s,3_workflow.md §1 Execution Duration
List all the parameters of the first activity of the workflow,"Rank: 16, Alpha: 32, LR: 2e-4, 4-bit loading",3_workflow.md §5 Block[1] Parameters
What hardware was used in the workflow?,2x NVIDIA RTX 4090 (24GB),3_workflow.md §2 Compute Hardware
Who is responsible for this workflow (person or username or entity)?,AI4Privacy Team (Lead Practitioner); ai4privacy-dev-01 (Execution Triggerer),3_workflow.md §3 Actors
What was the specific execution order of the tasks?,"Single activity: pii-redaction-training (QLoRA), 08:10 to 17:30",3_workflow.md §5 Block[1] timestamps
List all the parameters for the whole workflow process,"Rank: 16, Alpha: 32, LR: 2e-4, 4-bit loading; Sequence length 320–512, batch 1, grad accum 16, cosine LR, warmup 3%",3_workflow.md §5 Block[1] Parameters; 3_modelcard_finetuned.md Training set-up
What was the peak RAM consumption during the workflow?,Not reported,3_workflow.md — no RAM field
Has the model been trained in a distributed setting?,"No — 2x RTX 4090 on Private Cloud Cluster-B (single node, batch_size 1)",3_workflow.md §2 Compute Hardware; 3_modelcard_finetuned.md Training set-up
What was the real-time power consumption (in Watts) of the GPU during the workflow?,Not reported,3_workflow.md — no power field
Which inputs influenced the output in the workflow?,base-model (Llama-3.2-3B-Instruct) and pii-dataset (ai4privacy/pii-masking-200k),3_workflow.md §5 Block[1] Inputs Consumed
What is the total energy use for completing the workflow?,Not reported,3_workflow.md — no energy field
List all input files with size larger than 100Mb,Not reported (dataset is JSONL; individual file sizes not listed),3_datacard.md — no file size info
List all different file types used as input,JSONL (.jsonl),3_datacard.md configs: data_files: '*.jsonl'
Identify the largest output,LoRA adapter weights (PEFT LoRA Adapter) — exact size not reported,3_workflow.md §6 Content Summary
What is the science domain of the dataset?,Privacy / Legal / NLP (PII masking),"3_datacard.md tags: legal, business, psychology, privacy"
Does the dataset have a predetermined train-test split?,"Yes — metadata includes 'set': 'train' field; English subset used, but formal splits not described in card",3_datacard.md row description: 'set': 'train'
How many samples are present in the whole dataset?,"~209,000 examples (size_categories: 100K<n<1M; 13.6M text tokens)",3_datacard.md Key facts: ~209k examples
What is the data type of the ground truth (if present)?,Text (masked_text / target_text string with placeholder tokens),3_datacard.md Information regarding the rows: target_text
What is the specific task for which the dataset was created?,PII detection and masking / token classification,3_datacard.md Purpose and Features
What is the size in byte of one sample?,Not reported,3_datacard.md — no per-sample byte size
What is the total size of the whole dataset?,Not reported (13.6M tokens; no byte size given),"3_datacard.md Key facts — tokens only, no byte size"
What are the designed uses for this model?,"Redacting PII in English text, replacing detected spans with placeholder labels for downstream processing or audit",3_modelcard_finetuned.md Intended use
How many epochs have been used in the final training?,"Not explicitly stated (training set-up describes steps/schedule, not epochs)",3_modelcard_finetuned.md Training set-up — no epoch count
How many model parameters (weights) does the model have?,"3.21B base (Llama-3.2-3B-Instruct) + LoRA adapter (rank 16, small fraction)",3_modelcard_finetuned.md base_model; 1_modelcard_pretrained.md: 3B (3.21B)
What is the science domain of the model?,Privacy / NLP / Cybersecurity,3_modelcard_finetuned.md: PII redaction in legal/business text
What is the task solved by this model (regression or classification or forecast etc.)?,Token classification / span detection and replacement (text generation),3_modelcard_finetuned.md pipeline_tag: text-generation; purpose: replace PII spans
What is the intended use of this model?,Redacting PII in English text by replacing spans with dataset placeholder labels,3_modelcard_finetuned.md Intended use
What is the size of the final model in Mb?,Not reported (LoRA adapter only; base model ~6 GB),3_modelcard_finetuned.md — no size field; 3_workflow.md §6 — no size
What technique was used to train the model?,QLoRA Fine-tuning (4-bit base + LoRA rank 16),3_workflow.md §5 Block[1] Activity Type; 3_modelcard_finetuned.md: QLoRA on 4-bit base
What is the claimed performance of this model?,"Exact Match: ~0.67, Micro-F1: ~0.90 (P~0.91, R~0.90), Formatting errors: ~0.00",3_modelcard_finetuned.md Results; 3_workflow.md §8 Quality Metrics
Are the performance shown in the pretrained version improved in the finetuning?,Pretrained Llama 3.2 3B has no PII task benchmark; finetuned achieves 0.90 F1 on PII — direct comparison not possible,3_modelcard_pretrained.md (no PII metrics); 3_modelcard_finetuned.md Results
