q,a,reasoning
How many activities are present in the whole workflow?,1 (supervised-fine-tuning / medical-domain-sft),1_workflowcard.md §5 Execution Record: only one block listed
What is the final status of the workflow?,Completed,"1_workflowcard.md §1 Workflow Identification, Execution Status"
What is the time to completion of the workflow?,12h 15m 22s,"1_workflowcard.md §1 Workflow Identification, Execution Duration"
List all the parameters of the first activity of the workflow,"epochs: 3, lr: 2e-5, batch_size: 128, optim: adamw_torch",1_workflowcard.md §5 Block[1] Parameters
What hardware was used in the workflow?,8x H100-80GB GPUs,"1_workflowcard.md §2 Execution Context, Compute Hardware"
Who is responsible for this workflow (person or username or entity)?,Prithiv ML Mods (Lead Practitioner); automated-scheduler (Execution Triggerer),1_workflowcard.md §3 Actors
What was the specific execution order of the tasks?,"Single activity: medical-domain-sft (Supervised Fine-Tuning), from 02:05 to 14:00",1_workflowcard.md §5 Block[1] Start/End Timestamp
List all the parameters for the whole workflow process,"epochs: 3, lr: 2e-5, batch_size: 128, optim: adamw_torch",1_workflowcard.md §5 Block[1] Parameters (only one activity)
What was the peak RAM consumption during the workflow?,Not reported,1_workflowcard.md — no RAM/memory field present
Has the model been trained in a distributed setting?,Yes — 8x H100-80GB GPUs on Meta Custom GPU Cluster,1_workflowcard.md §2 Compute Hardware and Execution Location
What was the real-time power consumption (in Watts) of the GPU during the workflow?,Not reported in workflow card (pretrained card notes 700W TDP for H100),1_workflowcard.md — no per-GPU wattage field; 1_modelcard_pretrained.md Hardware table
Which inputs influenced the output in the workflow?,pretrained-base-model (Llama-3.2-3B-Instruct) and training-dataset (avaliev/chat_doctor),1_workflowcard.md §5 Block[1] Inputs Consumed
What is the total energy use for completing the workflow?,Not reported,1_workflowcard.md — no energy field present
List all input files with size larger than 100Mb,"pytorch_model-00001-of-00002.bin (4.97 GB), pytorch_model-00002-of-00002.bin (1.46 GB), tokenizer.json (17.2 MB)",1_modelcard_finetuned.md file table — only bins >100MB
List all different file types used as input,".bin (PyTorch model), .json (config, generation_config, tokenizer, special_tokens_map), .md (README), .gitattributes",1_modelcard_finetuned.md file table
Identify the largest output,pytorch_model-00001-of-00002.bin at 4.97 GB,1_modelcard_finetuned.md file table
What is the science domain of the dataset?,Medical / Healthcare,1_datacard.md tags: medical; description: ChatDoctor from HealthCareMagic and icliniq
Does the dataset have a predetermined train-test split?,Not explicitly defined in the data card; workflow uses held-out 5% for validation,1_datacard.md (no split info); 1_workflowcard.md §8 Validation Method
How many samples are present in the whole dataset?,"~110,000 (100k HealthCareMagic + 10k icliniq)",1_datacard.md description
What is the data type of the ground truth (if present)?,Text (doctor response as string),1_datacard.md data sample: 'output' field is a text string
What is the specific task for which the dataset was created?,Medical question answering (patient-doctor conversation),1_datacard.md task_categories: question-answering
What is the size in byte of one sample?,Not reported,1_datacard.md — no per-sample size field
What is the total size of the whole dataset?,Not reported in data card; model weights total ~6.43 GB,1_datacard.md — no dataset size field; 1_workflowcard.md §6 Content Summary
What are the designed uses for this model?,"Conversational AI, Text Generation, Instruction Following; Chatbots, Medical Consultation Tools, Content Creation, Problem-solving Assistants",1_modelcard_finetuned.md Key Use Cases and Intended Applications
How many epochs have been used in the final training?,3,1_workflowcard.md §5 Block[1] Parameters: epochs: 3
How many model parameters (weights) does the model have?,3.21B (Llama 3.2 3B),1_modelcard_pretrained.md model table: 3B (3.21B)
What is the science domain of the model?,Medical / Healthcare NLP,1_modelcard_finetuned.md: trained on chat_doctor dataset for medical domain
What is the task solved by this model (regression or classification or forecast etc.)?,Text generation / instruction following (seq2seq causal LM),1_modelcard_finetuned.md pipeline_tag: text-generation
What is the intended use of this model?,"Providing conversational or advisory responses, especially in medical or technical fields",1_modelcard_finetuned.md first paragraph
What is the size of the final model in Mb?,"~6,430 MB (4.97 GB + 1.46 GB bins)",1_modelcard_finetuned.md file table: 4.97+1.46 GB bins
What technique was used to train the model?,Supervised Fine-Tuning (SFT),1_workflowcard.md §5 Block[1] Activity Type
What is the claimed performance of this model?,Final Train Loss: 0.642; Eval Accuracy: 78.4%,1_workflowcard.md §8 Quality Metrics
Are the performance shown in the pretrained version improved in the finetuning?,Pretrained card shows no medical QA benchmark; finetuned card shows 78.4% eval accuracy on medical QA — direct comparison not possible from cards,1_modelcard_pretrained.md (no medical QA benchmark); 1_workflowcard.md §8
